Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Age,Employment Status,Employment Years,Monthly Income,Existing Debt,Credit Score,Loan Type,Loan Purpose,Collateral Available
LP001003,Male,Yes,1,Graduate,No,1537596.5,505934.0,43000000.0,360.0,1.0,Rural,N,61,Employed,0,175641.06,33280.86,791,Personal,Wedding,No
LP001005,Male,Yes,0,Graduate,Yes,1006500.0,0.0,22000000.0,360.0,1.0,Urban,Y,56,Self-Employed,12,279381.03,79547.83,695,Home,Home Improvement,No
LP001006,Male,Yes,0,Not Graduate,No,866596.5,791109.0,40500000.0,360.0,1.0,Urban,Y,42,Employed,16,165454.31,148942.44,664,Home,Home Improvement,Yes
LP001008,Male,No,0,Graduate,No,2013000.0,0.0,47500000.0,360.0,1.0,Urban,Y,37,Employed,16,108022.32,407711.44,721,Personal,Medical Expenses,No
LP001013,Male,Yes,0,Not Graduate,No,782721.5,508618.0,32000000.0,360.0,1.0,Urban,Y,54,Employed,1,136764.54,450711.96,672,Home,Home Improvement,Yes
LP001024,Male,Yes,2,Graduate,No,1073600.0,234850.0,23500000.0,360.0,1.0,Urban,Y,50,Employed,32,146596.98,297560.08,720,Education,Study Abroad,Yes
LP001027,Male,Yes,2,Graduate,,838750.0,617320.0,36500000.0,360.0,1.0,Urban,Y,57,Employed,21,112859.95,270108.18,734,Business,Business Expansion,Yes
LP001029,Male,No,0,Graduate,No,621681.5,952820.0,38000000.0,360.0,1.0,Rural,N,29,Employed,8,101394.21,271201.54,699,Business,Equipment Purchase,No
LP001030,Male,Yes,2,Graduate,No,435814.5,364353.0,5500000.0,120.0,1.0,Urban,Y,50,Employed,10,180248.6,407878.14,659,Business,Business Expansion,No
LP001032,Male,No,0,Graduate,No,1660725.0,0.0,42000000.0,360.0,1.0,Urban,Y,46,Employed,12,254838.94,16349.14,630,Personal,Wedding,No
